number of elements,insert time,size in bytes,search time,delete time
0,2,16,1,1
100,18,3328,13,1
200,67,6656,48,3
300,151,11056,112,4
400,273,14720,207,6
500,430,18544,332,7
600,633,22592,492,8
700,943,26656,665,10
800,1463,30208,883,12
900,2887,35488,1877,33
1000,2041,39648,1765,14
1100,2540,42256,2086,18
1200,3130,46464,2227,16
1300,3440,51440,2790,19
1400,3963,53936,3263,46
1500,5179,58944,3844,22
1600,5636,62912,4113,22
1700,6367,67296,4771,58
1800,7954,70176,6578,27
1900,8738,74192,7074,30
2000,9134,78384,6275,28
2100,9710,83504,7635,30
2200,10291,86960,7850,29
2300,13672,91216,10548,71
2400,17685,96576,11884,45
2500,16591,99456,12708,50
2600,18325,103520,13861,47
2700,20268,106512,14585,60
2800,20804,111440,16214,51
2900,22052,114832,16341,51
3000,23790,120656,17862,53
3100,24827,123472,18666,56
3200,26885,127008,19889,56
3300,26745,132720,20370,52
3400,29586,135648,21757,53
3500,29105,141504,22884,49
3600,31492,143504,23751,55
3700,32729,147728,23734,53
3800,38634,153568,29983,66
3900,40945,156976,32571,75
4000,44123,160576,31750,59
4100,39201,162608,30302,61
4200,46311,166640,30954,59
4300,44185,173504,37353,64
4400,50511,178352,35936,65
4500,51354,183136,42614,81
4600,58511,186416,44707,165
4700,62294,188400,44460,75
4800,57350,194368,42148,69
4900,61333,195264,47310,89
5000,63290,198400,46843,75
5100,68173,204224,51636,77
5200,64293,208336,50904,78
5300,68062,212512,52611,80
5400,70677,217280,53388,81
5500,80531,218672,63898,100
5600,87304,223120,62896,84
5700,81129,230320,59385,84
5800,77732,234288,60599,83
5900,84213,239696,64376,82
6000,90310,240528,67660,92
6100,92707,244144,74533,94
6200,100407,249136,73428,89
6300,99007,252912,86927,97
6400,122163,255296,93959,118
6500,114989,259328,83385,99
6600,110325,268144,83753,97
6700,111117,269408,87570,101
6800,114505,272624,83744,103
6900,124703,276880,93774,109
7000,135179,281648,91599,106
7100,136843,285616,107018,118
7200,132105,287760,108034,176
7300,151266,293920,111448,126
7400,142367,298000,105383,111
7500,137083,300464,103374,112
7600,143259,307216,110833,115
7700,146989,310976,113140,111
7800,150778,314144,115069,114
7900,146602,317104,113431,118
8000,159464,319888,130556,123
8100,154977,323664,126107,141
8200,171088,331760,120883,118
8300,176994,334976,135612,190
8400,167195,339088,128827,125
8500,177841,342960,132358,126
8600,182277,348064,141796,135
8700,181540,352000,140073,126
8800,191448,355312,149640,133
8900,190047,356016,154149,136
9000,195612,360288,144875,131
9100,209310,368720,151876,135
9200,219421,369344,157027,138
9300,211609,375584,176600,146
9400,213688,378048,160244,139
9500,222039,382624,159413,138
9600,228530,386640,166278,143
9700,229778,388256,183001,147
9800,238232,396592,184552,149
9900,239638,397680,184024,154
