size,insertTime,getTime,deleteTime
0,3,1,1
100,20,13,3
200,77,63,4
300,173,148,6
400,329,288,8
500,495,428,11
600,799,718,14
700,1166,948,15
800,1392,1232,17
900,2086,1681,34
1000,2504,2113,22
1100,3401,2457,22
1200,3347,2954,28
1300,4035,3470,29
1400,4942,4221,31
1500,5342,4622,36
1600,6161,10899,35
1700,7034,6325,36
1800,7845,6678,38
1900,9507,8542,45
2000,9862,8645,42
2100,11613,10079,48
2200,13616,10806,89
2300,13472,12306,48
2400,15199,12507,80
2500,17453,20094,126
2600,21415,17904,85
2700,22566,16643,57
2800,20932,17472,58
2900,22202,18726,84
3000,24457,21348,73
3100,28102,23253,111
3200,27110,24258,72
3300,29318,24579,64
3400,30802,30216,77
3500,35191,32465,87
3600,36610,30312,78
3700,39933,31440,75
3800,39886,32103,124
3900,40136,34965,81
4000,44675,39099,94
4100,47078,41289,139
4200,46840,40429,86
4300,51003,49653,91
4400,52840,44810,97
4500,59668,46420,91
4600,62216,49836,99
4700,66394,55582,143
4800,64278,56420,103
4900,75727,64881,100
5000,72733,59690,106
5100,72696,64492,116
5200,79680,64365,120
5300,81168,67857,111
5400,85914,71436,114
5500,87527,71628,158
5600,91609,82442,146
5700,95577,84824,126
5800,93570,80135,161
5900,106673,86915,134
6000,104655,89580,128
6100,109030,92344,129
6200,112037,96312,132
6300,112585,96655,133
6400,116548,109476,134
6500,127955,107901,138
6600,128383,108978,331
6700,130789,107773,148
6800,133144,117411,139
6900,152359,127838,160
7000,152292,126387,154
7100,150467,127738,249
7200,188467,152925,161
7300,150060,126461,172
7400,145939,122188,127
7500,157562,131963,159
7600,165732,133948,137
7700,157281,127671,141
7800,161688,137533,140
7900,163661,145117,176
8000,178193,143361,258
8100,175693,153628,162
8200,189737,153693,170
8300,191268,153766,146
8400,206988,167346,451
8500,224721,187027,207
8600,210670,177484,189
8700,216453,183743,192
8800,217948,182525,365
8900,226328,190238,197
9000,255683,196410,191
9100,241486,195449,196
9200,234306,197183,238
9300,243999,204837,204
9400,248353,200054,165
9500,233346,192138,164
9600,231815,214042,210
9700,245371,211059,212
9800,264104,222647,344
9900,279657,218880,177
